root_id	root_tweet	reply_id	reply_tweet	root_stance	reply_stance	reply_as_root
1300701652039675904	Terwijl de beelden van het geweld en radicalisme van #blm het internet over gaan, besluit de heer Rutte dit Paard van Troje nog even binnen te halen voor een gesprek. Ongekend. https://t.co/yjzmu96hRd	1300948389689950208	@rblommestijn Ik zeg maar zoâ soort zoek soortâen misschien zit er nog een date in voor rutte,het glimmende schoentje heeft het veel te druk,is bezig met zijn vaccinatie plicht er door te rammen ð	Unrelated	Unrelated	
1300655087363280898	Als de @WHO vaccineren als enige oplossing ziet voor een ziekte met  overlevingskans  99,8% dan heb je toch maar 1 hersencel nodig om te begrijpen dat je gepiepeld wordt. Vanavond allemaal weer fijn hersenloos manipulatie-kwartiertje kijken? #rijksleugenaars @MinPres @hugodejonge	1301047931370434561	@mdvrdrmn @CommonSense_TV @WHO @MinPres @hugodejonge Als âoverlevingskansâ het criterium is, bent u dan ook tegen het vaccinatieprogramma tegen Polio?	Against	Query	
1300424818999930885	Laatste bericht #brand #Schoonoord: brand meester. Naar verwachting is de brandweer nog ongeveer twee uur bezig met nablussen.	1301066560275185664	"@Emmenaartje Hiervoor kunnen meerdere redenen zijn:
â¢Je had tijdelijk geen bereik.
â¢Je telefoon was verbonden met een zendmast buiten het getroffen gebied die het NL-Alert niet uitzond 
â¢Op https://t.co/AV0v3GzQeV vind je meer informatie."	Unrelated	Unrelated	
1300293462290558979	PVV: btw-tarief tijdelijk naar nul procent https://t.co/E1WvujiuKm	1301077445710417928	@MarkvLoosdrecht @Neeltje73037068 @GeertDelen @geertwilderspvv Maar het is met 1man begonnen in China dus het is niet meer te stoppen totdat er een vaccin is gevonden. Maar we moeten er niet zo'n probleem van maken, de meeste mensen hebben het namelijk gehad zonder dat ze het hebben gemerkt of een beetje ziek zijn geweest.	Unrelated	Unrelated	
1301090572548046849	Tuberculosevaccin getest op Nederlandse ouderen in strijd tegen corona https://t.co/4lNgrbG5HX	1301091109867839489	"@NOS Ja, we gaan onze ouderen als proefkonijn gebruiken om een vaccin/medicijn te vinden voor een virus dat minder gevaarlijk is dan de griep en influenza. Klasseðð». 

NOT. ð¤¬"	Unrelated	Unrelated	
1301085803066646530	"Lieve hemel, ik dacht dat het een grap was. Maar nee, de @KNVB gaat écht voetballen in Wit-Rusland. En ze maken zich zorgen om de veiligheid, om quarantaine, niet om het in elkaar knuppelen van vrouwen en kinderen. Niet om marteling en moord. Schande. 

https://t.co/y5iqQFc4mR"	1301095427740233729	@obk @KNVB Eens. Dus, wat zijn werkbare opties? Beetje moe van de #ophef route. De spelers via Insta prikkelen om na te denken? Kamerleden? Of gewoon weer het riedeltje talkshows, opiniepaginaâs en over tot de orde van (de volgende) dag?	Unrelated	Unrelated	
1301064674843254784	Zojuist las ik een bericht van iemand die een afspraak bij de huisarts wilde maken, maar eerst getest moest zijn voor hij langs mocht komen?? Dus straks voor ieder doktersbezoek een test??	1301097173875126275	@lorelei3112 Dat je straks verplicht een vaccin moet hebben om medische hulp, opleidingen volgen, enz. te kunnen krijgen. En dat dat nu eerst begint met verplicht testen.	Unrelated	Unrelated	
1301205547505659906	Wel of geen teek? https://t.co/qdnZvO6hfI	1301209767034183680	@Suzannew26 Ik denk een muggenbeet. Maar bij twijfel altijd bloed laten prikken.	Unrelated	Unrelated	
1301193814594465792	Elke keer als er een debat is over de aanpak van Corona gaat het over dingen die niet urgent zijn. Nu weer #grapperhaus, vorige keer #Halsema. De bestrijding van Corona lijkt me urgenter! #coronadebat	1301210992463032320	@AnonPatriots17 Ja en het coronavaccin komt al via het kraanwater bij jou in je glas terecht. Daarom zijn er nu zo weinig ziekenhuisopnames.	Unrelated	Unrelated	
1301187643221442567	Van alle Nederlanders zou 13 procent zich niet laten inenten met een goed coronavaccin. 16 procent twijfelt. Het is onzeker of een vaccinatiegraad van zo'n 70 procent genoeg is. #Nieuwsuur https://t.co/KeLKJY2rdO	1301218174503981058	"@JoyceKarel @Nieuwsuur @irenedekruif Prima hoor, moet iedereen zelf weten. Want natuurlijk is het voor bepaalde groepen gevaarlijk. Voor sommige ouderen, mensen met obesitas of suikerziekte enz. 
Maar dat is griep ook. En heel veel andere ziektes.
En stond u eerder ook in de rij voor de jaarlijkse griepprik?"	Neutral	Elaborate	
1301921429798162433	"""Mensen die tegen mij zeggen: je bent gek, er is geen virus', daar kan ik niet veel mee."" https://t.co/ydRLNUf32a"	1302008580749623299	@s_cliffw @RTLnieuws rutte zei in februari toch al dat de grootste meerderheid (al dan niet iedereen) het gaat krijgen. waar the f*ck heb je dan nog een vaccin nodig ??	Unrelated	Unrelated	
1302082778339647488	Mogelijk is er toch dit jaar al een coronavaccin beschikbaar, zegt het Europees Geneesmiddelenbureau (EMA), dat gaat over de toelating van vaccins binnen de EU https://t.co/re26kNsbSi	1302119077884854272	@ADnl De tijd dringt. Voor er helemaal geen draagvlak meer is snel het vaccin erdoor trappen	Neutral	Elaborate	
1302132987732033538	Die derde wappie op rechts met een groot podium is toch wel het engst. https://t.co/7ugyWzGnWo	1302135734611128323	@v4nd3rw3g_ Wel bijzondere dat in 2012 de wereld is vergaan, maar ik vind deze nieuwe ook vrij kut. ð¤·ð¼ââï¸	Unrelated	Unrelated	
1302125632114110464	De race om het coronavaccin: 1,5 miljard gekocht, nu wachten op resultaten https://t.co/DZubeg0WRh	1302149220686651392	"@ff217a8ef0e34ed @frankvw_ @NOS Naast dat er ook resultaten van voorgaande Corona vaccins gebruikt worden, waarop verder getest wordt op de huidige Convid-19.

En ja, er zijn risicoâs... maar ik vertrouw de wetenschap."	Neutral	Unrelated	
1302127999471497216	Alle protocollen van jarenlang testen vanwege de veiligheid van een vaccin worden hier overboord gegooid terwijl ze grootschalig willen gaan vaccineren. Als het op termijn niet veilig blijkt dan is de ramp niet te overzien. https://t.co/kwnnC2EoEX	1302154830576664577	@Gaia_Universe Waarom wordt er zo lichtzinnig omgegaan met de gezondheidsaspecten door vaccin producenten,die ook nog eens onschendbaarbeid hebben geÃ«ist,voor jur .claims mochten er de komende jaren medische problemen bij gevaccineerden zich openbaren? Gaat ât om veel geld of viruscontroleâï¸	Against	Query	
1302124752115585025	"Goedemorgen Twittervriend(inn)en &amp; nwe volgers hartelijk welkom in mijn tijdlijn Wens jullie een gezellige zaterdag en een goed weekend https://t.co/mG9udyR2so"	1302161434651090945	@NicoletteBesem2 Dank Nicolette. Ook voor  jou gewenst https://t.co/X6sqe3gW7y	Unrelated	Unrelated	
1302125632114110464	De race om het coronavaccin: 1,5 miljard gekocht, nu wachten op resultaten https://t.co/DZubeg0WRh	1302164031567007749	@NOS 1,5 miljard vaccins kopen waarvan resultaten ongewis zijn..denk daar eens over na..zou dat wellicht wat achterlijk veel zijn ? Tenzij achter dat aantal hele andere motivaties en plannen schuilen ? #coronavirus	Neutral	Disagree	
1302155088966766592	"Hoe staan we ervoor?
-dagelijks &gt;700 nieuwe pos getesten, weer stijgend
- &gt;120 verpleeghuize met besmettingen
- besmettingen op scholen
- grote testbereidheid, maar lange wachttijden
- labcapaciteit is machtspel
- BCO beter, maar geen dashboard
- quarantaine idem

Graag aanvullen"	1302166414057500673	@Wim_Schellekens Onze hoofdstrategie - hopen op een vaccin, zonder een plan B -  is niet rationeel.	Unrelated	Unrelated	
1302125632114110464	De race om het coronavaccin: 1,5 miljard gekocht, nu wachten op resultaten https://t.co/DZubeg0WRh	1302177519031005190	@frankvw_ @NOS Dus:... ga jij maar krom staan en neem je prikje maar.. ik sla âm effe over	Neutral	Disagree	
1302195562901581824	Wakker. Koffie Aquarium bouwen.	1302203227014926339	@Onbegonnen Bon dia! Zit je op https://t.co/Gx182gsOqP?	Unrelated	Unrelated	
